,song,text,Album,autor,duración,Año,Reproducciones,URL
0,A-YO,"[Intro]  Here we go!    [Verse 1]  I can't wait to smoke them all  Whole pack like Marlboro  Blow it in your face, blow it in your face  Blow it in your, blow it in your face  I can't wait to rev you up  Faster than you can say ""Ferrari""  Tearin' up the gravel, watch you unravel  Now it's a party    Hey, I can't wait to cast my spell  Which one you'll never tell  'Cause I got it covered, city gravy southern  Got you drippin' like no other    [Chorus]  Get off on me, my body's got you pleadin'  Light me up and breathe in  Mirror on the ceilin'  Off on me, my body's got you pleadin'  Light me up and breathe in  Mirror on the ceiling  A-YO, A-YO  We smokin' 'em all  A-YO, A-YO  We smokin' 'em all  A-YO, A-YO  We smokin' 'em all  A-YO, A-YO    [Verse 2]  I can't wait to blaze for real  Track burns like a road rail  Spin it in your face, spin it in your face  Play it in your, play it in your face    Can't wait to get you shook up  Faster than you can try to hate it  You can try to hate it, you can try to fake it  But baby, I laced it    [Chorus]  Get off on me, my body's got you pleadin'  Light me up and breathe in  Mirror on the ceilin'  Off on me, my body's got you pleadin'  Light me up and breathe in  Mirror on the ceiling  A-YO, A-YO  Mirror on the ceiling  (We smokin' 'em all)  A-YO, A-YO  Mirror on the ceiling  (We smokin' 'em all)  A-YO, A-YO  Mirror on the ceiling  (We smokin' on 'em all)  A-YO, A-YO  Aaaa-YO    [Refrain]  A-YO, A-YO  (We smokin' 'em all)  A-YO A-YO  (We smokin' 'em all)    [Chorus]  Get it da get it da get it get it  Get off on me, my body's got you pleadin'  Light me up and breathe in  Mirror on the ceilin'  Off on me, my body's got you pleadin'  Light me up and breathe in  Mirror on the ceiling  A-YO, A-YO  Mirror on the ceiling  (We smokin' 'em all)  A-YO, A-YO  Mirror on the ceiling  (We smokin' 'em all)  A-YO, A-YO  Mirror on the ceiling  (We smokin' 'em all)  A-YO, A-YO  Mirror on the ceiling    [Outro]  A-YO, A-YO  We smokin' 'em all  A-YO, A-YO  A-YO  A-YO  A-YO, A-YO  We smokin' 'em all  A-YO, A-YO  Hey YO",Joanne,"Lady Gaga, Mark Ronson, BloodPop, Hillary Lindsey",3:28,2016,16651869,https://www.last.fm/music/Lady+Gaga/JOANNE+(Deluxe)
1,Alejandro,"I know that we are young,  And I know that you may love me,  But I just can't be with you like this anymore,  Alejandro    She's got both hands  In her pocket  And she won't look at you  Won't look at you  She hides true love  En su bolsillo  She got a halo around her finger  Around you    You know that I love you boy  Hot like Mexico, rejoice  At this point I gotta choose  Nothing to lose    Don't call my name  Don't call my name, Alejandro  I'm not your babe  I'm not your babe, Fernando    Don't wanna kiss, don't wanna touch  Just smoke my cigarette and hush  Don't call my name  Don't call my name, Roberto    Alejandro  Alejandro  Ale-ale-jandro  Ale-ale-jandro    Alejandro  Alejandro  Ale-ale-jandro  Ale-ale-jandro    Stop, please,  Just let me go Alejandro,  Just let me go    She's not broken  She's just a baby  But her boyfriend's like a dad, just like a dad  And all those flames that burned before him  Now he's gonna fire fight, gotta cool the bad    You know that I love you boy  Hot like Mexico, rejoice  At this point I've gotta choose  Nothing to lose    Don't call my name  Don't call my name, Alejandro  I'm not your babe  I'm not your babe, Fernando    Don't wanna kiss, don't wanna touch  Just smoke my cigarette and hush  Don't call my name  Don't call my name, Roberto    Alejandro  Alejandro  Ale-ale-jandro  Ale-ale-jandro    Alejandro  Alejandro  Ale-ale-jandro  Ale-ale-jandro    Don't bother me,  Don't bother me, Alejandro  Don't call my name,  Don't call my name, bye, Fernando  I'm not your babe,  I'm not your babe, Alejandro  Don't wanna kiss, don't wanna touch,  Fernando    Don't call my name,  Don't call my name, Alejandro  I'm not your babe,  I'm not your babe, Fernando  Don't wanna kiss, don't wanna touch  Just smoke my cigarette and hush  Don't call my name,  Don't call my name,  Roberto    Alejandro  Alejandro  Ale-ale-jandro  Ale-ale-jandro    Alejandro  Alejandro  Ale-ale-jandro  Ale-ale-jandro    Don't call my name,  Don't call my name, Alejandro  I'm not your babe,  I'm not your babe, Fernando  Don't wanna kiss, don't wanna touch  Just smoke my cigarette and hush  Don't call my name,  Don't call my name, Roberto    Alejandro",The Fame Monster,Lady Gaga & RedOne,4:34,2009,109970686,https://www.last.fm/music/Lady+Gaga/The+Fame+Monster
2,Applause,"I stand here waiting for you to bang the gong  To crash the critics saying, ""is it right or is it wrong?""  If only fame had an IV, baby could I bear  Being away from you, I found the vein, put it in here    I live for the applause, applause, applause  I live for the applause-plause, live for the applause-plause  Live for the way that you cheer and scream for me  The applause, applause, applause    Give me that thing that I love (Turn the lights on)  Put your hands up, make 'em touch, touch (Make it real loud)  Give me that thing that I love (Turn the lights on)  Put your hands up, make 'em touch, touch (Make it real loud)    (A-P-P-L-A-U-S-E) Make it real loud  Put your hands up, make 'em touch, touch  (A-P-P-L-A-U-S-E) Make it real loud  Put your hands up, make 'em touch, touch    I've overheard your theory  ""Nostalgia's for geeks""  I guess sir, if you say so  Some of us just like to read    One second I'm a Kunst  Then suddenly the Kunst is me  Pop culture was in art  Now, art's in pop culture in me    I live for the applause, applause, applause  I live for the applause-plause, live for the applause-plause  Live for the way that you cheer and scream for me  The applause, applause, applause    Give me that thing that I love (Turn the lights on)  Put your hands up, make 'em touch, touch (Make it real loud)  Give me that thing that I love (Turn the lights on)  Put your hands up, make 'em touch, touch (Make it real loud)    (A-P-P-L-A-U-S-E) Make it real loud  Put your hands up, make 'em touch, touch  (A-P-P-L-A-U-S-E) Make it real loud  Put your hands up, make 'em touch, touch    Ooh touch, touch ooh  Touch, touch now ooh ooh ooh ooh    I live for the applause, applause, applause  I live for the applause-plause, live for the applause-plause  Live for the way that you cheer and scream for me  The applause, applause, applause    Give me that thing that I love (Turn the lights on)  Put your hands up, make 'em touch, touch (Make it real loud)  Give me that thing that I love (Turn the lights on)  Put your hands up, make 'em touch, touch (Make it real loud)    (A-P-P-L-A-U-S-E) Make it real loud  Put your hands up, make 'em touch, touch (Make it real loud)  (A-P-P-L-A-U-S-E) Make it real loud  Put your hands up, make 'em touch, touch    A-R-T-P-O-P",Artpop,"Lady Gaga, DJ White Shadow, DJ Snake, Julien Arias, Martin Bresso, Nicolas Mercier, Nick Monson y Dino Zisis",3:32,2013,30794636,https://www.last.fm/music/Lady+Gaga/ARTPOP
3,Artpop,"Come to me, in all your glamour and cruelty  Just do that thing that you do  And I'll undress you  Give it time, sometimes the simplest move is right  The melody that you choose, can rescue you    A hybrid can withstand these things  My heart can beat with bricks and strings  My ARTPOP could mean anything    We could, we could belong together (ARTPOP)  We could, we could belong together (ARTPOP)  We could, we could belong together (ARTPOP)  ARTPOP, ARTPOP, ARTPOP    Come to me, with all your subtext and fantasy  Just do that thing that you do  In a perverse hue  Lover's kites, are flown on beaches for public sight  The color palette you choose, can profit you    A hybrid can withstand these things  My heart can beat with bricks and strings  My ARTPOP could mean anything    Could try to sell you out or I  Could show you all the reasons why  My ARTPOP could mean anything    We could, we could belong together (ARTPOP)  We could, we could belong together (ARTPOP)  We could, we could belong together (ARTPOP)  ARTPOP, ARTPOP, ARTPOP    Brushes with darknes won't help you create  Your destiny of self but ARTPOP could mean anything, anything  I try to sell myself but I am really laughing  Because I just want the music, not the bling  Music, not the bling    We could, we could belong together (ARTPOP)  We could, we could belong together (ARTPOP)  We could, we could belong together (ARTPOP)  ARTPOP, ARTPOP, ARTPOP    We could, we could belong together (ARTPOP)  We could, we could belong together (ARTPOP)  We could, we could belong together (ARTPOP)  ARTPOP, ARTPOP, ARTPOP    Free my mind, ARTPOP  You make my, heart stop",Artpop,"Lady Gaga, DJ White Shadow, Nick Monson y Dino Zisis",4:08,2013,30794636,https://www.last.fm/music/Lady+Gaga/ARTPOP
4,"Beautiful, Dirty, Rich","Beautiful, dirty dirty, rich rich, dirty dirty  Beautiful, dirty rich  Dirty dirty rich, dirty dirty rich, beautiful  Beautiful and dirty, dirty rich, rich dirty    We got a red light  Pornographic dance fight  Systematic, honey  But we got no money    Our hair is perfect  While were all getting shit wrecked  It's automatic, honey  But we got no money    [Chorus]  Daddy I'm so sorry, I'm so sorry yeah  We just like to party, like to ppparty yeah  Bang bang, we're beautiful and dirty rich  Bang bang, we're beautiful and dirty rich    We live a cute life  Sound fematic, pants tight  Tug n' plastic, honey  But we got no money    We do the dance right  We have got it made like  Ice cream topped with honey  But we got no money    [Chorus]    A bang bang bang, bang bang bang, beautiful, dirty rich  A bang bang bang, bang bang bang, beautiful, dirty rich    Bang bang, we're beautiful and dirty rich  Bang bang, we're beautiful and dirty rich    Bang bang  Bang bang",The Fame,Lady Gaga y Fusari,2:52,2008,109970686,https://www.last.fm/music/Lady+Gaga/The+Fame
5,Bloody Mary,"Love is just a history that they may prove  And when you're gone I'll tell them my religion's you  When Pontius come to kill the king upon his throne  I'm ready for their stones    I'll dance, dance, dance  With my hands, hands, hands,  Above my head, head, head  Like Jesus, said  I'm gonna dance, dance, dance  With my hands, hands,  Hands above my head  Dance together  Forgive him before he's dead because    I won't cry for you  I won't crucify the things you do  I won't cry for you, see  When you're gone I'll still be bloody Mary    We are not just art for Michelangelo  To carve, he can't rewrite the aggro of my furied,  Heart, I'll wait on mountain tops in Paris cold  Je ne veux pas mourir toute seule    I'll dance, dance, dance  With my hands, hands, hands,  Above my head, head, head  Like Jesus, said  I'm gonna dance, dance, dance  With my hands, hands,  Hands above my head  Dance together  Forgive him before he's dead because    I won't cry for you  I won't crucify the things you do  I won't cry for you, see  When you're gone I'll still be bloody Mary    Gaga, Gaga, Gaga, Gaga, Gaga, Gaga, Gaga, Gaga  Dum dum da da da  Dum dum da da da da da da  Dum dum da da da  Dum dum da da da  Dum dum da da da da da da  Dum dum da da da    I won't cry for you  I won't crucify the things you do do do  I won't cry for you (Gaga), see (Gaga)  When you're gone I'll still be Bloody (Gaga) Mary (Gaga)    [Repeat: x8]  Oh oh oh oh oh (Gaga)    Oh, liberdad mi amor",Born this Way,"Lady Gaga, Fernando Garibay y DJ White Shadow",4:04,2011,54617900,https://www.last.fm/music/Lady+Gaga/Born+This+Way
6,Dope,"Cork's off, it's on  The party's just begun  I promise  This drink is my last one  I know I fucked up again  Because I lost my only friend  God forgive my sins  Don't leave me, I  Oh I will hate myself until I die    My heart would break without you  Might not awake without you  Been hurting low, from living high for so long  I'm sorry, and I love you  Sing with me, ""Bell Bottom Blue""  I'll keep on searching for an answer cause I need you more than dope    I need you more than dope  Need you more than dope  Need you more than dope  I need you more than dope    Toast one last puff  And two last regrets  Three spirits and  Twelve lonely steps  Up heaven's stairway to gold  Mine myself like coal  A mountain of a soul  Each day, I cry  Oh, I feel so low from living high    My heart would break without you  Might not awake without you  Been hurting low, from living high for so long  I'm sorry, and I love you  Sing with me, ""Bell Bottom Blue""  I'll keep searching for an answer cause I need you more than dope    I need you more than dope  I need you more than dope  I need you more than dope  I need you more than dope    I need you more  Need you more  I need you more than dope",Artpop,"Lady Gaga, DJ White Shadow, Nick Monson y Dino Zisis",3:42,2013,30794636,https://www.last.fm/music/Lady+Gaga/ARTPOP
7,I Like It Rough,"Your love is nothing I can't fight  Can't sleep with the man who dims my shine    I'm in the bedroom,  With tissues and when,  I know you're outside banging that I won't let you in  'Cause it's a hard life, with love in the world  And I'm a hard girl,  Loving me is like chewing on pearls    You've got me wandering why I  I like it rough I,  I like it rough I,  I like it rough    You've got me wandering why I  I like it rough I,  I like it rough I,  I like it rough    Won't go without my fix tonight  It's a little too rough  Prom girl wipes her tears with silver lines  And she can't get enough    I'm in the bedroom  With tissues and when,  I know you're outside banging that I won't let you in  'Cause it's a hard life, with love in the world  And I'm a hard girl  Loving me is like straightening curls    You've got me wandering why I  I like it rough I,  I like it rough I,  I like it rough    You've got me wandering why I  I like it rough I,  I like it rough I,  I like it rough    I'm shiny and I know it,  Don't know why you wanna blow it,  Need a man who likes it rough, likes it rough, likes it rough.    I'm shiny and I know it,  Don't know why you wanna blow it,  Need a man who likes it rough, likes it rough, likes it rough.    Is it because you don't mean it?  Or because I don't feel it?  Yes it's rough.    Is it because you don't mean it?  Or because I don't feel it?  Yes it's rough.    You've got me wandering why I  I like it rough I,  I like it rough I,  I like it rough    You've got me wandering why I  I like it rough I,  I like it rough I,  I like it rough    You've got me wandering why I  I like it rough I,  I like it rough I,  I like it rough    You've got me wandering why I  I like it rough I,  I like it rough I,  I like it rough",The Fame,Lady Gaga y Kierszenbaum,3:22,2008,109970686,https://www.last.fm/music/Lady+Gaga/The+Fame
8,Judas,"Whoa whoa I'm in love with Juda-as, Juda-as  Whoa whoa I'm in love with Juda-as, Juda-as  Juda-as! Juda-ah-as! Judas! Juda-ah-as  Juda-as! Juda-ah-as! Judas! Ga-ah ga-ah    Juda-as! Juda-ah-as! Judas! Juda-ah-as  Juda-as! Juda-ah-as! Judas! Ga-ah ga-ah    When he calls to me, I am ready  I'll wash his feet with my hair if he needs  Forgive him when his tongue lies through his brain  Even after three times he betrays me  Ah oh I'll bring him down, bring him down, down  Ah oh a king with no crown, king with no crown    I'm just a holy fool,  Oh baby it's so cruel but  I'm still in love with Judas baby  I'm just a Holy Fool, oh baby it's so cruel  But I'm still in love with Judas baby    Whoa whoa I'm in love with Juda-as, Juda-as  Whoa whoa I'm in love with Juda-as, Juda-as  Juda-as! Juda-ah-as! Judas! Juda-ah-as  Juda-as! Juda-ah-as! Judas! Ga-ah ga-ah    I couldn't love a man so purely  Even darkness forgave his goofy way  I've learned love is like a brick you can  Build a house or sink a dead body    Ah oh I'll bring him down, bring him down, down  Ah oh a king with no crown, king with no crown    I'm just a holy fool, oh baby it's so cruel  But I'm still in love with Judas, baby  I'm just a holy fool, oh baby it's so cruel  But I'm still in love with Judas, baby  Whoa whoa I'm in love with Juda-as, Juda-as  Whoa whoa I'm in love with Juda-as, Juda-as    In the most Biblical sense,  I am beyond repentance  Fame hooker, prostitute wench, vomits her mind  But in the cultural sense  I just speak in future tense  Judas kiss me if offenced,  Or wear an ear condom next time    I wanna love you, but something's pulling me away from you  Jesus is my virtue and Judas is the demon I cling to I cling to    Just a holy fool, oh baby he's so cruel  But I'm still in love with Judas, baby  I'm just a holy fool, oh baby it's so cruel  But I'm still in love with Judas, baby    Whoa whoa I'm in love with Juda-as, Juda-as  Whoa whoa I'm in love with Juda-as, Juda-as  Juda-as! Juda-ah-as! Judas! Juda-ah-as  Juda-as! Juda-ah-as! Judas! Ga-ah ga-ah",Born this Way,Lady Gaga y RedOne,4:09,2011,54617900,https://www.last.fm/music/Lady+Gaga/Born+This+Way
9,Just Dance,"Red wine, Konvict, Gaga (oh, yeah)    I've had a little bit too much - much oh oh woah!  All of the people start to rush, start to rush by.  How does she twist the dance  Can't find my drink, or man.  Where are my keys, I lost my phone.  What's going on out on the floor?  I love this record baby, but I can't see straight anymore.  Keep it cool, what's the name of this club?  I can't remember but it's alright, alright.    [Chorus]  Just dance, gonna be OK.  Da da doo doo just dance spin that record babe.  Da-da-doo-doo just dance, gonna be OK.  Duh-duh-duh dance, dance, dance, just dance.    Wish I could shut my playboy mouth.  How'd I turn my shirt inside out? Inside out right.  Control your poison babe  Roses have thorns they say.  And we're all gettin' hosed tonight.  What's going on on the floor?  I love this record baby, but I can't see straight anymore.  Keep it cool, what's the name of this club?  I can't remember but it's alright, alright.    [Chorus]    When I come through on the dance floor checkin' out that catalog.  Can't believe my eyes so many women without a flaw.  And I ain't gonna give it up, steady tryin' to pick it up like the car  I'm a hit it, I'm a hit it and flex until the 'till done until tomorrow yeah.    Shawty I can see that you got so much energy,  The way you twirling up them hips round and round  There's no reason, I know why you can't leave here with me  In the meantime stand, let me watch you break it down and dance    Gonna be okay da-da-doo-doo  Just dance, spin that record babe.  Da-da-doo-doo Just dance, gonna be OK.  Da-da-doo-doo just dance, spin that record babe.  Da-da-doo-doo just dance, gonna be OK.  Duh-duh-duh dance, dance, dance, just dance    Half psychotic sick-hypnotic  Got my blueprint it's symphonic  Half psychotic sick-hypnotic  Got my blueprint electronic  Half psychotic sick-hypnotic  Got my blueprint it's symphonic  Half psychotic sick-hypnotic  Got my blueprint electronic    Go, use your muscle carve it out work it, hustle  (I got it, just stay close enough to get it)  Don't slow, drive it, clean it Lysol, bleed it  Spend the last dough (I got it) on your pocko (I got it)    Just dance, gonna be okay.  Da-da-doo-doo just dance, spin that record babe.  Da-da-doo-doo just dance, gonna be OK.  Da-da-doo-doo just dance, spin that record babe.  Da-da-doo-doo just dance, gonna be OK.  Duh-duh-duh dance, dance, dance, just dance.",The Fame,"Lady Gaga, RedOne y Akon",4:01,2008,109970686,https://www.last.fm/music/Lady+Gaga/The+Fame
10,Poker Face,"I wanna hold 'em like they do in Texas plays  Fold 'em, let 'em, hit me, raise it baby stay with me (I love it)  Love Game intuition play the cards with spades to start  And after he's been hooked I'll play the one that's on his heart    Oh, oh, oh, oh, oh, oh-oh-e-oh-oh-oh  I'll get him hot, show him what I've got  Oh, oh, oh, oh, oh, oh-oh-e-oh-oh-oh,  I'll get him hot, show him what I've got    [Chorus]  Can't read my,  Can't read my,  No he can't read my poker face  (She's got me like nobody)  Can't read my  Can't read my  No he can't read my poker face  (She is gonna let nobody)    P p p poker face, p p p poker face  (Muh muh muh muh)  P p p poker face, p p poker face  (Muh muh muh muh)    I wanna roll with him a hard pair we will be  A little gambling is fun when you're with me (I love it)  Russian Roulette is not the same without a gun  And baby when it's love, if its not rough it isn't fun, fun    Oh, oh, oh, oh, oh, oh-oh-e-oh-oh-oh  I'll get him hot, show him what I've got  Oh, oh, oh, oh, oh, oh-oh-e-oh-oh-oh,  I'll get him hot, show him what I've got    [Chorus]    P p p poker face, p p p poker face  (Muh muh muh muh)  P p p poker face, p p p poker face  (Muh muh muh muh)    I won't tell you that I love you  Kiss or hug you  Cause I'm bluffing with my muffin  I'm not lying I'm just stunning with my love glue gunnin'  Just like a chick in the casino  Take your bank before I pay you out  I promise this, promise this  Check this hand cause I'm marvelous    [Chorus: x3]    P p p poker face, p p p poker face  (Muh muh muh muh)  P p p poker face, p p p poker face  (Muh muh muh muh)    (She is gonna let nobody)    P p p poker face, p p p poker face  (Muh muh muh muh)  P p p poker face, p p p poker face  (Muh muh muh muh)    P p p poker face, p p p poker face  (Muh muh muh muh)  P p p poker face, p p p poker face  (Muh muh muh muh)",The Fame,Lady Gaga y RedOne,3:57,2008,109970686,https://www.last.fm/music/Lady+Gaga/The+Fame
11,Starstruck,"Groove. slam. work it back. filter that. baby bump that track.  Groove. slam. work it back. filter that. baby bump that track.  Groove. slam. work it back. space cowboy just play that track.  Gaga in the room. so starstruck cherry cherry cherry cherry boom boom.    Rollin' up to the club on the weekend  Stylin' out to the beat that you're freakin'  Fantasize I'm the track that you're tweakin'  Blow my heart up put your hands on my waist pull the fader  Run it back with original flavor  Cue me up I'm the twelve on your table I'm so starstruck    I'm so starstruck  Baby 'cause you blow my heart up  I'm so starstruck  Baby 'cause you blow my heart up    I'm so starstruck  Baby 'cause you blow my heart up  I'm so starstruck  Baby 'cause you blow my heart up    Baby now that were alone gotta request  Would you make me number one on your playlist?    Put your Dre headphones with the left side on  Wanna scratch it back and forth, back and forth uh huh    Put your hands on my waist pull the fader  Run it back with original flavor  Get the breakdown first  Up until the chorus  To the verse  Re-ke-re-ke-reverse    I'm so starstruck  Baby 'cause you blow my heart up  I'm so starstruck  Baby 'cause you blow my heart up    I'm so starstruck  Baby 'cause you blow my heart up  I'm so starstruck  Baby 'cause you blow my heart up    Hey Lil' mamma like really, really is that him  I done seen you before what you got on them big rims  Enter that cash flow, I'm like baby you don't trip    So Shawty say hand over your signature right here  Like adjust the dotted line and I suppose to sign  How she at it, a fanatic and I think it's goin' down  She so star struck, the gal all stuck  I should have had an overdose too many starbucks    Ain't never seen a balla, paper that stack taller  Notice who let the top back on the chevy impala  Hummers and all that fully loaded with two spoilers  What did you call that when you showed up with two dollars    But that's another chapter, son of a bachelor  All on me, just spotted a baby actor  Complete swagga, they go the dagga  Got what she wants, shawty happily ever after    I'm so starstruck  Baby 'cause you blow my heart up  I'm so starstruck  Baby 'cause you blow my heart up    I'm so starstruck  Baby 'cause you blow my heart up  I'm so starstruck  Baby 'cause you blow my heart up    Groove. slam. work it back. filter that. baby bump that track.  Groove. slam. work it back. filter that. baby bump that track.  Groove. slam. work it back. filter that. baby bump that track.  Groove. slam. work it back. baby bump that track.    Baby now that were alone gotta request  Would you make me number one on your play list?    Put your dre headphones with the left side on  Wanna scratch it back and forth, back and forth uh huh    Put your hands on my waist pull the fader  Run it back with original flavor  Get the breakdown first  Up until the chorus  To the verse  I'm so starstruck    I'm so starstruck  Baby 'cause you blow my heart up  I'm so starstruck  Baby 'cause you blow my heart up    I'm so starstruck  Baby 'cause you blow my heart up  I'm so starstruck  Baby 'cause you blow my heart up",The Fame,"Lady Gaga, Kierszenbaum, Space Cowboy y Flo Rida",3:37,2008,109970686,https://www.last.fm/music/Lady+Gaga/The+Fame
12,The Fame,"I can't help myself  I'm addicted to a life of material  It's some kind of joke  I'm obsessively opposed to the typical    All we care about is  Runway models, Cadillacs and liquor bottles  Give me something, I wanna be  Retro glamor, Hollywood, yes we live for the    [Chorus]  Fame, doin' it for the fame  Cause we wanna live the life  Of the rich and famous  Fame, doin' it for the fame  Cause we gotta taste for champagne  And endless fortune    Fame, fame baby  The fame, fame  We live for the fame, fame baby  The fame, fame  Isn't it a shame, shame baby  A shame, shame  In it for the fame, fame baby  The fame, fame    I can see myself in the movies  With my picture in the city lights  Photograph my mind  And what else you like to shoot  You decide    All we care about is  Pornographic girls on film and body plastic  Give me something  I wanna see television and hot blonds in odd positions    [Chorus]    Fame, fame baby  The fame, fame  We live for the fame, fame baby  The fame, fame  Isn't it a shame, shame baby  A shame, shame  In it for the fame, fame baby  The fame, fame    Don't ask me how or why  But I'm gonna make it happen this time  My teenage dream tonight  Yeah I'm gonna make it happen this time    Fame, doin' it for the fame  Cause we wanna live the life  Of the rich and famous    [Chorus: x2]",The Fame,Lady Gaga y Kierszenbaum,3:42,2008,109970686,https://www.last.fm/music/Lady+Gaga/The+Fame
13,Again Again,"You've gotta a lotta lotta nerve  Coming here when I'm still with him  And I can't have you, it isn't fair  Born March of '86, my birthday's coming  And if I had one wish  Yeah, you'd be it    When you're 'round  I lose myself inside your mouth  You've got brown eyes  Like no one else  Baby make it to me    [Chorus]  Again and again  Again, again, again, again  Never stop again and again  Again, again, a a again, again  Never stop, oh    He never really saw me  Or waited when we were hooking up  Yeah he'd a never last  Last week when I was sad  You said that you knew  My eyes change from kinda green  To kind blue, hey yea    When you're 'round  I lose myself inside your mouth  You've got brown eyes  Like no one else  Baby make it to me    [Chorus]    Hey tell me if I leave him  Baby would you be there  'Cause maybe you could  Be more than that, all the time  I'm sad chillin'",The Fame,Lady Gaga,-,2008,109970686,https://www.last.fm/music/Lady+Gaga/The+Fame
