,song,text,Album,autor,duración,Año,Reproducciones,URL
14,Angel Down,"[Verse 1]  I confess I am lost  In the age of the social  On our knees, take a test  To be lovin' and grateful    [Pre-Chorus]  Shots were fired on the street  By the church where we used to meet  Angel down, angel down  But the people just stood around  [Chorus]  I'm a believer, it's a trial  Foolish and weaker, oh, oh, oh  I'd rather save an angel down  I'm a believer, it's chaos  Where are our leaders? Oh, oh, oh  I'd rather save an angel down    [Verse 2]  Doesn't everyone belong  In the arms of the sacred  Why do we pretend we're wrong?  Has our young courage faded?    [Pre-Chorus]  Shots were fired on the street  By the church where we used to meet  Angel down, angel down  Why do people just stand around?    [Chorus]  I'm a believer, it's a trial  Foolish and weaker, oh, oh, oh  I'd rather save an angel down  I'm a believer, it's chaos  Where are our leaders? Oh, oh, oh  I'd rather save an angel down    [Bridge]  Who, who, who, who, who  Who, who, who, who, who    [Chorus]  I'm a believer, it's a trial  Foolish and weaker, oh, oh, oh  I'd rather save an angel down  I'm a believer, it's chaos  Where are our leaders? Oh, oh, oh  I'd rather save an angel down    [Outro]  Save that angel  Hear that angel  Catch my angel  Save that angel  Hear that angel  Catch my angel  Hear that angel  Hear that angel  Catch my angel  Save that angel  Hear that angel  Catch my angel  Hear that angel  Catch my angel",Joanne,"Lady Gaga, RedOne",3:49,2016,16651869,https://www.last.fm/music/Lady+Gaga/JOANNE+(Deluxe)
15,Aura,"I killed my former and  Left her in the trunk on highway ten  Put the knife under the hood  If you find it, send it straight to Hollywood    Ha ha ha ha ha ha ha ha ha ha ha ha  Ha ha ha ha ha ha ha ha ha ha ha ha  Ha ha ha ha ha ha ha ha ha ha ha ha  Aura-a-a-a aura-a-a-a  Aura-a-a-a aura-a-a-a  Aura-a-a-a aura-a-a-a    I'm not a wandering slave I am a woman of choice  My veil is protection for the gorgeousness of my face  You ought to pity me 'cause was always one man to love  But in the bedroom the size of him's more than enough    Do you wanna see me naked, lover?  Do you wanna peek underneath the cover?  Do you wanna see the girl who lives behind the aura, behind the aura?  Do you wanna touch me, cosmic lover?  Do you wanna peek underneath the cover?  Do you wanna see the girl who lives behind the aura?  Behind the aura, behind the aura, behind the aura?    Enigma pop star is fun, she wear burqa for fashion  It's not a statement as much as just a move of passion  I may not walk on your street or shoot a gun on your soil  I hear you screaming, is it because of pleasure or toil?    Dance, sex, art, pop, tech  Dance, sex, art, pop, tech    Do you wanna see me naked, lover?  Do you wanna peek underneath the cover?  Do you wanna see the girl who lives behind the aura, behind the aura?  Do you wanna touch me, cosmic lover?  Do you wanna peek underneath the cover?  Do you wanna see the girl who lives behind the aura?  Behind the aura, behind the curtain, behind the burga",Artpop,"Lady Gaga, Zedd, Erez Aizen y Amit Duvdevani",3:56,2013,30794636,https://www.last.fm/music/Lady+Gaga/ARTPOP
16,Bad Kids,"We don't care what people say  We know the truth  Enough is enough with this horse shit  I am not a freak  I was born with my freedom  Don't tell me I'm less than my freedom    I'm a bitch, I'm a loser baby, maybe I should quit  I'm a jerk, wish I had the money but I can't find work  I'm a brat, I'm a selfish punk, I really should be smacked  My parents tried till they got divorced  'Cause I ruined their lives    I'm a bad kid  And I'll survive  Oh I'm a bad kid  Don't know wrong from right  I'm a bad kid and this is my life  One of the bad kids  Don't know wrong from right  (This is my life)    Don't be insecure  If your heart is pure  You're still good to me if you're a bad kid, baby  Don't be insecure  If your heart is pure  You're still good to me if you're a bad kid, baby  A bad kid baby  A bad kid baby  Don't be insecure    I'm a twit, degenerate, young rebel and I'm proud of it  Pump your fist  If you would rather mess up than put up with this  I'm a nerd, I chew gum and smoke in your face I'm absurd  I'm so bad and I don't give a damn, l love it when you're mad  When you're mad  When you're mad    I'm a bad kid  And I will survive  Oh I'm a bad kid  Don't know wrong from right  I'm a bad kid and this is my life  One of the bad kids  Don't know wrong from right  (This is my life)    Don't be insecure  If your heart is pure  You're still good to me if you're a bad kid, baby  Don't be insecure  If your heart is pure  You're still good to me if you're a bad kid baby  A bad kid baby  A bad kid baby  Don't be insecure    I'm not that typical baby  I'm a bad kid like my Mom and Dad made me  I'm not that cool and you hate me  I'm a bad kid that's the way that they made me    I'm a bad kid I'm disastrous  Give me your money or I'll hold my breath  I'm a bad kid and I will survive  One of the bad kids  Don't know wrong from right    Don't be insecure  If your heart is pure  You're still good to me if you're a bad kid, baby  Don't be insecure  If your heart is pure  You're still good to me if you're a bad kid, baby    [Repeat: x5]  A bad kid, baby",Born this Way,"Lady Gaga, Fernando Garibay, DJ White Shadow y Jeppe Laursen",3:50,2011,54617900,https://www.last.fm/music/Lady+Gaga/Born+This+Way
17,Bad Romance,"Oh-oh-oh-oh-oh! Oh-oh-oh-oh-oh-oh!  Caught in a bad romance  Oh-oh-oh-oh-oh! Oh-oh-oh-oh-oh-oh!  Caught in a bad romance    Rah rah ah-ah-ah!  Ro mah ro-mah-mah  Gaga oh-la-la!  Want your bad romance    Rah rah ah-ah-ah!  Ro mah ro-mah-mah  Gaga ooh-la-la!  Want your bad romance    I want your ugly  I want your disease  I want your everything  As long as it's free  I want your love  Love-love-love  I want your love    I want your drama  The touch of your hand  I want your leather studded kiss in the sand  I want your love  Love-love-love, I want your love (Love-love-love, I want your love)    You know that I want you  And you know that I need you  I want it bad  Your bad romance    I want your love and  I want your revenge  You and me could write a bad romance  (Oh-oh-oh-oh-oooh!)  I want your love and  All your lovers revenge  You and me could write a bad romance    Oh-oh-oh-oh-oh! Oh-oh-oh-oh-oh-oh!  Caught in a bad romance    Oh-oh-oh-oh-ooh! Oh-oh-ooh-oh-oh-oh!  Caught in a bad romance    Rah rah ah-ah-ah!  Ro mah ro-mah-mah  Gaga ooh-la-la!  Want your bad romance    I want your horror  I want your design  'Cause you're a criminal  As long as your mine  I want your love  Love-love-love  I want your love    I want your psycho, your vertigo shtick  Want you in my rear window  Baby you're sick, I want your love  Love-love-love, I want your love (Love-love-love, I want your love)    You know that I want you  And you know that I need you  I want it bad, bad romance    I want your love and  I want your revenge  You and me could write a bad romance  (Oh-oh-oh-oh-ooh!)  I want your love and  All your lovers revenge  You and me could write a bad romance    Oh-oh-oh-oh-ooh! Oh-oh-ooh-oh-oh-oh!  Caught in a bad romance    Oh-oh-oh-oh-ooh! Oh-oh-ooh-oh-oh-oh!  Caught in a bad romance    Rah rah ah-ah-ah!  Ro mah ro-mah-mah  Gaga ooh-la-la!  Want your bad romance    Rah rah ah-ah-ah!  Ro mah ro-mah-mah  Gaga oh-la-la!  Want your bad romance    Walk, walk fashion baby, work it move that bitch crazy  Walk-walk fashion baby, work it move that bitch crazy  Walk-walk fashion baby, work it move that bitch crazy  Walk-walk passion baby, work it I'm a free bitch baby    I want your love  And I want your revenge  I want your love  I don't wanna be friends    (J'veux ton amour et je veux ta revanche j'veux ton amour)  I don't wanna be friends, I don't wanna be friends  I don't wanna be friends, I don't wanna be friends  Want your bad romance (caught in a bad romance) want your bad romance    I want your love and  I want your revenge  You and me could write a bad romance  (Oh-oh-oh-oh-ooh!)  I want your love and  All your lovers revenge  You and me could write a bad romance    Oh-oh-oh-oh-ooh! Want your bad romance  Caught in a bad romance  Want your bad romance  Oh-oh-oh-oh-ooh! Want your bad romance  Caught in a bad romance    Rah rah ah-ah-ah!  Ro mah ro-mah-mah  Gaga ooh-la-la!  Want your bad romance",The Fame Monster,Lady Gaga & RedOne,4:55,2009,109970686,https://www.last.fm/music/Lady+Gaga/The+Fame+Monster
18,Born This Way,"It doesn't matter if you love him, or capital H-I-M  Just put your paws up 'cause you were born this way, baby    My mama told me when I was young  We are all born superstars    She rolled my hair and put my lipstick on  In the glass of her boudoir    ""There's nothing wrong with loving who you are""  She said, ""'Cause he made you perfect, babe""  ""So hold your head up girl and you'll go far,  Listen to me when I say""    I'm beautiful in my way  'Cause God makes no mistakes  I'm on the right track, baby I was born this way    Don't hide yourself in regret  Just love yourself and you're set  I'm on the right track, baby  I was born this way (Born this way)    Oh there ain't no other way  Baby I was born this way  Baby I was born this way  Oh there ain't no other way  Baby I was born this way  Right track baby I was born this way    Don't be a drag, just be a queen  Don't be a drag, just be a queen  Don't be a drag, just be a queen  Don't be don't be don't be    Give yourself prudence  And love your friends  So we can rejoice your truth    In the religion of the insecure  I must be myself, respect my youth    A different lover is not a sin  Believe capital H-I-M (hey hey hey)  I love my life I love this record and  Mi amore vole fe, yah    I'm beautiful in my way  'Cause God makes no mistakes  I'm on the right track, baby  I was born this way    Don't hide yourself in regret  Just love yourself and you're set  I'm on the right track, baby  I was born this way    Oh there ain't no other way  Baby I was born this way  Baby I was born this way  Oh there ain't no other way  Baby I was born this way  Right track, baby I was born this way    Don't be a drag, just be a queen  Whether you're broke or evergreen  You're black, white, beige, chola descent  You're Lebanese, you're Orient  Whether life's disabilities  Left you outcast, bullied, or teased  Rejoice and love yourself today  'Cause baby you were born this way    No matter gay, straight, or bi  Lesbian, transgendered life  I'm on the right track baby  I was born to survive  No matter black, white or beige  Chola or orient made  I'm on the right track baby  I was born to be brave    I'm beautiful in my way  'Cause God makes no mistakes  I'm on the right track, baby I was born this way    Don't hide yourself in regret  Just love yourself and you're set  I'm on the right track, baby  I was born this way yeah    Oh there ain't no other way  Baby I was born this way  Baby I was born this way (Born this way)  Oh there ain't no other way  Baby I was born this way  Right track, baby I was born this way    I was born this way hey  I was born this way hey  I'm on the right track baby  I was born this way hey    I was born this way hey  I was born this way hey  I'm on the right track baby  I was born this way hey    Same D.N.A. but born this way  Same D.N.A. but born this way",Born this Way,Lady Gaga y Jeppe Laursen,4:20,2011,54617900,https://www.last.fm/music/Lady+Gaga/Born+This+Way
19,Boys Boys Boys,"Hey there sugar baby  Saw you twice at the pop show  You taste just like glitter mixed with rock and roll  I like you a lot lot  Think you're really hot hot    I know you think you're special  When we dance real crazy  Glamaphonic, electronic, disco baby  I like you a lot lot  All we want is hot hot    [Chorus]  Boys boys boys  We like boys in cars  Boys boys boys  Buy us drinks in bars  Boys boys boys  With hairspray and denim  Boys boys boys  We love them! (We love them)    Oh, oh    Baby is a bad boy with some retro sneakers  Let's go see The Killers and make out in the bleachers  I like you a lot lot, think you're really hot hot  Let's go to the party heard our buddy's the DJ  Don't forget my lipstick I left it in your ashtray  I like you a lot lot, all we want is hot hot    [Chorus: x2]    I'm not loose, I like to party  Let's get lost in your Ferrari  Not psychotic or dramatic  I like boys and that is that  Love it when you call me legs  In the morning buy me eggs  Watch your heart when we're together  Boys like you love me forever    Oh, oh, oh, oh    [Chorus: x3]",The Fame,Lady Gaga y RedOne,3:22,2008,109970686,https://www.last.fm/music/Lady+Gaga/The+Fame
20,Brown Eyes,"In your brown eyes, walked away  In your brown eyes, couldn't stay  In your brown eyes, you watch her go    And turn the record on  And wonder what went wrong  What went wrong    If everything was everything  But everything is over  Everything could be everything  If only we were older    Guess it's just a silly song about you  And how I lost you  And your brown eyes    In your brown eyes, I was feeling low  Cause they're brown eyes and you never know  Got some brown eyes, but a soft face    I knew that it was wrong  So baby, turn the record on  Play that song    Where everything was everything  But everything is over  Everything could be everything  If only we were older    I guess its just a silly song about you  And how I lost you  And your brown eyes    Brown eyes    Everything was everything  But baby it's the last show  Everything could be everything  But it's time to say goodbye so  Get your last fix, and your last hit  Grab your old girl with her new tricks    Honey yeah, it's no surprise  I got lost in your brown eyes    In your brown eyes  Brown, brown eyes  Your brown eyes  Brown, brown eyes  Got some brown eyes  Brown, brown eyes  Your brown eyes",The Fame,Lady Gaga y Fusari,4:03,2008,109970686,https://www.last.fm/music/Lady+Gaga/The+Fame
21,Diamond Heart,"[Verse 1]  Young, wild, American  Lookin' to be somethin'  Out of school go-go'n  For a hundred or two  Some asshole broke me in  Wrecked all my innocence  I'll just keep go-go'n  And this dance is on you    [Pre-Chorus]  One, five, ten, lay a million on me  Before the end of this song  [Chorus]  Young, wild, American  C'mon baby, do you have a girlfriend?  Rain on me a million  I'm not flawless, but I gotta diamond heart    [Post-Chorus]  Oh, I  I might not be flawless, but you know  I gotta diamond heart  Oh, I  I might not be flawless, but you know  I gotta diamond heart    [Verse 2]  Young, wild, American  Head full of Jameson  Girl's playin' bad 'cause it doesn't pay to be good  A cruel king made me tough  Daddy's girl's never good enough  I'll just keep go-go'n  'Cause this dance is on you    [Pre-Chorus]  One, five, ten, lay a million on me  Before the end of this song    [Chorus]  Young, wild, American  C'mon baby, do you have a girlfriend?  Rain on me a million  I'm not flawless, but I gotta diamond heart    [Post-Chorus]  Oh, I  I might not be flawless, but you know  I gotta diamond heart  Oh, I  I might not be flawless, but you know  I gotta diamond heart    [Bridge]  Good thing I know what I'm worth  Want a good thing, put the money down first  Better get a good look baby  'Cause soon I'm breaking out of here    [Chorus]  Young, wild, American  C'mon baby, do you have a girlfriend?  Rain on me a million  I'm not flawless, but I gotta diamond heart    [Post-Chorus]  Oh, I  I might not be flawless, but you know  I gotta diamond heart  Oh, I  I might not be flawless, but you know  I gotta diamond heart    [Outro]  Diamond heart",Joanne,"Lady Gaga, Mark Ronson, Josh Homme",3:30,2016,16651869,https://www.last.fm/music/Lady+Gaga/JOANNE+(Deluxe)
22,Disco Heaven,"Oh disco heaven  Oh disco heaven    Get back bunny  It's getting cold in here little honey  We got a show to put on your dress  Take a minute for us and relax, relax  Cupid's got me oh with his bow and arrow baby  He'll hit you in the pants hot pants  Get the people to dance and relax, relax    Oh the lights dim while we're dancing  Yeah the floor is shaking  In this disco heaven  (Oh disco heaven)  The disco heaven    (Oh disco heaven)    Oh the lights dim while we're dancing  Yeah the floor is shaking  In this disco heaven  (Oh disco heaven)  The disco heaven    (Oh disco heaven)    Throw your head back girly  Throw it like those girls in the movies  We got a show to put on your dress  Take a minute for us and relax, relax    The ball is turning 300 mirrors burning  Through the hearts of the crowd  In the back hips just banging the track  To the music the music    Oh the lights dim while we're dancing  Yeah the floor is shaking  In this disco heaven  (Oh disco heaven)  The disco heaven    (Oh disco heaven)    Oh the lights dim while we're dancing  Yeah the floor is shaking  In this disco heaven  (Oh disco heaven)  The disco heaven    (Oh disco heaven)    Oh we got that disco  D-I-S-C-O  And we're in heaven  H-e-a-v-e-n  Disco heaven    Feels just like heaven  Disco heaven  Disco heaven    A line up for the dance  Yeah bring those fancy pants  Y'know there's disco in the air  And hairspray everywhere    A disco heaven  A disco heaven  Disco heaven  Disco heaven    Oh the lights dim while we're dancing  Yeah the floor is shaking  In this disco heaven  (Oh disco heaven)  The disco heaven    (Oh disco heaven)    Oh the lights dim while we're dancing  Yeah the floor is shaking  In this disco heaven  (Oh disco heaven)  The disco heaven    (Oh disco heaven)",The Fame,Lady Gaga,-,2008,109970686,https://www.last.fm/music/Lady+Gaga/The+Fame
23,Donatella,"I am so fab  Check out  I'm blonde  I'm skinny  I'm rich,  And I'm a little bit of a bitch    I wanna dress you up in silk, Taffeta  Tailor these clothes to fit your guilt, what's your size?  This purse can hold my black card and tiara  Versace promises I will, Dolce Vita    What do you wanna wear this spring?  What do you think is the new thing?  What do you wanna wear this season?  Donatella    (I'm smokin em on full tank of gas)  Mi-Mi-Bella  (I'm a rich bitch, I'm the upper class)  All of the day  (I'm the pearl to your oyster, I'm a babe)  I'm gonna smoke Marlboro Lights and drink Champagne  (I smoke Marlboro Reds and drink Champagne)  Donatella    'Cause she walks so bad, like it feels so good  Listen to her radiate her magic  Even though she knows she's misunderstood  Voodoo, Voodoo, Voo-Don-Na-Na    Walk down the runway, but don't puke, It's okay  You just had a salad today, Boulangerie  Just ask your gay friends their advice, before you  Get a spray tan on Holiday, in Taipei    What do you wanna wear this spring?  What do you think is the new thing?  What do you wanna wear this season?  Donatella    (I'm smokin em on full tank of gas)  Mi-Mi-Bella  (I'm a rich bitch, I'm the upper class)  All of the day  (I'm the pearl to your oyster, I'm a babe)  I'm gonna smoke Marlboro Lights and drink Champagne  (I smoke Marlboro Reds and drink Champagne)  Donatella    'Cause she walks so bad, like it feels so good  Listen to her radiate her magic  Even though she knows she's misunderstood  Voodoo, Voodoo, Voo-Don-Na-Na    Check it out, take it in  Who's that bitch, she's so thin (Ooh nah nah nah)  She's so rich, and so blonde  She so fab, it's beyond  What do you wanna wear this spring?  What do you think is the new thing?  What do you wanna wear this season?  Donatella, Donatella  All of the day  I'm gonna wear designer and forget your name  Donatella, Donatella    'Cause she walks so bad, like it feels so good  Listen to her radiate her magic  Even though she knows she's misunderstood  Voodoo, Voodoo, Voo-Don-Na-Na    Voo-Don-Na-Na",Artpop,Lady Gaga y Zedd,4:25,2013,30794636,https://www.last.fm/music/Lady+Gaga/ARTPOP
24,Electric Chapel,"My body is sanctuary  My blood is pure  Doo doo doo doo doo doo doo  You want me bad  I think you're cool  But I'm not sure  Doo doo doo doo doo doo doo    Follow me  Don't be such a holy fool  Follow me  I need something more from you  It's not about sex or champagne  You holy fool  Doo doo doo doo doo doo doo    [Chorus]  If you want me  Meet me at electric chapel  If you want me  Meet me at electric chapel  If you wanna steal my heart away  Meet me, meet me baby in a safe place  Come on meet me  In electric chapel    Come dance to me where you have been  Next to the bar  Doo doo doo doo doo doo doo  Pray for your sins  Right under the glass disco ball  Doo doo doo doo doo doo doo    Follow me  Don't be such a holy fool  Follow me  I need something sacred from you  Together we'll both find a way  To make it pure  Love working in dirty way    [Chorus]    Ho oh oh oh, ho oh oh oh  Uh uh uh uh uh uh  Ho oh oh oh  Uh uh uh uh uh uh    If you want me  Meet me in electric chapel  Oh, if you want me  Meet me in electric chapel  If you wanna steal my heart away  Meet me, meet me baby in a safe place  Come on meet me  In electric chapel  Oh oh",Born this Way,Lady Gaga y DJ White Shadow,4:12,2011,54617900,https://www.last.fm/music/Lady+Gaga/Born+This+Way
25,Government Hooker,"I can be good (If you just wanna be bad)  I can be cool (If you just wanna be mad)    I can be anything , I'll be your everything  Just touch me baby (I don't wanna be sad)    As long as I'm your hooker (Back up and turn around)  As long as I'm your hooker (Put your hands on the ground)  As long as I'm you're hooker (Back up and turn around)  As long as I'm your hooker (Get down)    Hooker (Yeah, you're my hooker)  Hooker (Government hooker)  Hooker (Yeah, you're my hooker)  Hooker (Government hooker)    I'm gonna drink my tears tonight  I'm gonna drink my tears and cry  'Cause I know you love me baby  I know you love me baby    I could be girl (Unless you want to be man)  I could be sex (Unless you want to hold hands)    I could be anything, I could be everything  I could be mom (Unless you want to be dad, oh papito)    As long as I'm your hooker (Back up and turn around)  As long as I'm your hooker (Put your hands on the ground)  As long as I'm you're hooker (Back up and turn around)  As long as I'm your hooker (Get down)    Hooker (Yeah, you're my hooker)  Hooker (Government hooker)  Hooker (Yeah, you're my hooker)  Hooker (Government hooker)    Put your hands on me  John F. Kennedy  I'll make you squeal baby  As long as you pay me (oh)    I'm gonna drink my tears tonight  I'm gonna drink my tears and cry  'Cause I know you love me baby  I know you love me baby    Hooker (Yeah, you're my hooker)  Hooker (Government hooker)  Hooker (Yeah, you're my hooker)  Hooker (Government hooker)    I could be girl (Unless you want to be man)  I could be sex (Unless you want to hold hands)    I could be anything, I could be everything  I could be mom (Unless you want to be dad)    I wanna fuck the government hooker (Back up and turn around)  Stop fucking me government hooker (Put your hands on the ground)  I wanna fuck the government hooker (Back up and turn around)  Stop fucking me government hooker (Get down) Yes",Born this Way,"Lady Gaga, Fernando Garibay y DJ White Shadow",4:14,2011,54617900,https://www.last.fm/music/Lady+Gaga/Born+This+Way
26,Gypsy,"Sometimes a story has no end  Sometimes I think that we could just be friends  'Cause I'm a wandering man, he said to me    And what about our future plans?  Does it seem we have even make sense?  When I got the whole world in front of me    So I said, ""I don't wanna be alone forever  But I can be tonight  I don't wanna be alone forever  But I love gypsy life  I don't wanna be alone forever  Maybe we can see the world together  I don't wanna be alone forever  But I can be tonight, tonight""    So I just packed my baggage and  Said goodbye to family and friends  And took the road to nowhere on my own    Like Dorothy on a yellow brick  Hope my ruby shoes get us there quick  'Cause I left everyone I love at home    And I don't wanna be alone forever  But I can be tonight  I don't wanna be alone forever  But I love gypsy life  I don't wanna be alone forever  Maybe we can see world together  I don't wanna be alone forever  But I can be tonight, tonight    'Cause I'm, I'm, I'm, I'm  A gypsy, a gypsy, a gypsy  I'm, I'm, I'm, I'm  A gypsy, a gypsy, a gypsy  I'm, I'm, I'm, I'm  A gypsy, a gypsy, a gypsy  I'm, I'm, I'm, I'm  A gypsy, a gypsy, a gypsy, I'm    And then he asked me,  Said, ""Baby, why do we love each other?""  I said, ""Honey, it's simple.  It's the way that you love and treat your mother""    Thought that I would be alone forever  But I won't be tonight  I'm a man without a home  But I think with you I can spend my life  And you'll be my little gypsy princess  Pack your bags and we can chase the sunset  Bust the rear view and fire up the jets  'Cause it's you and me  Baby, for life    Would you go with me?  (For life)  See the world with me    'Cause I'm, I'm, I'm, I'm  A gypsy, a gypsy, a gypsy  I'm, I'm, I'm, I'm  A gypsy, a gypsy, a gypsy I'm    Russia, UK, Paris, I'm  Italian, Asian, Kompai  Africa, India, I'm  A gypsy, a gypsy, a gypsy I'm  Latin American, I don't speak German but I try  Someday in Jakarta, I'm  American, I'm gypsy I  Bangkok, Australia, Malaysia  Sweden, Finland, Norway  Be my home just for the day  I'm a gypsy, gypsy, gypsy hey",Artpop,"Lady Gaga, DJ White Shadow, RedOne y Madeon",4:09,2013,30794636,https://www.last.fm/music/Lady+Gaga/ARTPOP
